    QEJWOR,       Fe1, 2,      Cl2A, 2.402, 0.349,0,2.0128891419042092
    QEJWOR,       Fe1, 2,       Cl1, 2.265, 0.506,0,2.0128891419042092
    QEJWOR,       Fe1, 2,       Cl2, 2.405, 0.347,0,2.0128891419042092
    QEJWOR,       Fe1, 2,       Cl3, 2.254, 0.521,0,2.0128891419042092
    WEKPUX,       Fe1, 2,      Cl1F, 2.314, 0.443,0,2.0128891419042092
    WEKPUX,       Fe1, 2,      Cl2F, 2.315, 0.442,0,2.0128891419042092
    WEKPUX,       Fe1, 2,       Cl2, 2.315, 0.442,0,2.0128891419042092
    WEKPUX,       Fe1, 2,       Cl1, 2.314, 0.443,0,2.0128891419042092
    QEJXEI,       Fe1, 2,      Cl2A, 2.402, 0.349,0,2.0128891419042092
    QEJXEI,       Fe1, 2,       Cl1, 2.264, 0.507,0,2.0128891419042092
    QEJXEI,       Fe1, 2,       Cl2, 2.404, 0.347,0,2.0128891419042092
    QEJXEI,       Fe1, 2,       Cl3, 2.256, 0.518,0,2.0128891419042092
    TUKBAC,       Fe2, 2,       Cl4, 2.315, 0.442,0,2.0128891419042092
    TUKBAC,       Fe2, 2,       Cl1, 2.309, 0.449,0,2.0128891419042092
    TUKBAC,       Fe2, 2,       Cl2, 2.319, 0.437,0,2.0128891419042092
    TUKBAC,       Fe2, 2,       Cl3, 2.345, 0.408,0,2.0128891419042092
    PTUMFC,       Fe1, 2,       Cl4, 2.304, 0.455,0,2.0128891419042092
    PTUMFC,       Fe1, 2,       Cl1, 2.302, 0.458,0,2.0128891419042092
    PTUMFC,       Fe1, 2,       Cl2, 2.336, 0.418,0,2.0128891419042092
    PTUMFC,       Fe1, 2,       Cl3, 2.275, 0.492,0,2.0128891419042092
    PTUMFC,       Fe2, 2,       Cl5, 2.303, 0.457,0,2.0128891419042092
    PTUMFC,       Fe2, 2,       Cl6, 2.315, 0.442,0,2.0128891419042092
    PTUMFC,       Fe2, 2,       Cl7, 2.338, 0.415,0,2.0128891419042092
    PTUMFC,       Fe2, 2,       Cl8, 2.284, 0.481,0,2.0128891419042092
  FEDMSI10,       Fe2, 2,      Cl2K, 2.173, 0.649,0,2.0128891419042092
  FEDMSI10,       Fe2, 2,      Cl2E, 2.173, 0.649,0,2.0128891419042092
  FEDMSI10,       Fe2, 2,      Cl2N, 2.173, 0.649,0,2.0128891419042092
  FEDMSI10,       Fe2, 2,       Cl2, 2.173, 0.649,0,2.0128891419042092
    NIPJAX,       Fe1, 2,       Cl4, 2.149, 0.692,0,2.0128891419042092
    NIPJAX,       Fe1, 2,       Cl1, 2.187, 0.625,0,2.0128891419042092
    NIPJAX,       Fe1, 2,       Cl2, 2.190, 0.620,0,2.0128891419042092
    NIPJAX,       Fe1, 2,       Cl3, 2.175, 0.645,0,2.0128891419042092
    QOMWEV,       Fe2, 2,       Cl4, 2.311, 0.447,0,2.0128891419042092
    QOMWEV,       Fe2, 2,       Cl1, 2.319, 0.437,0,2.0128891419042092
    QOMWEV,       Fe2, 2,       Cl2, 2.312, 0.446,0,2.0128891419042092
    QOMWEV,       Fe2, 2,       Cl3, 2.325, 0.430,0,2.0128891419042092
  MICYFE10,       Fe1, 2,       Cl4, 2.172, 0.650,0,2.0128891419042092
  MICYFE10,       Fe1, 2,       Cl1, 2.165, 0.663,0,2.0128891419042092
  MICYFE10,       Fe1, 2,       Cl2, 2.190, 0.620,0,2.0128891419042092
  MICYFE10,       Fe1, 2,       Cl3, 2.182, 0.633,0,2.0128891419042092
    RUKLOY,       Fe2, 2,      Cl2B, 2.179, 0.638,0,2.0128891419042092
    RUKLOY,       Fe2, 2,      Cl2A, 2.179, 0.638,0,2.0128891419042092
    RUKLOY,       Fe2, 2,       Cl1, 2.206, 0.593,0,2.0128891419042092
    RUKLOY,       Fe2, 2,       Cl2, 2.179, 0.638,0,2.0128891419042092
    QAMDOY,       Fe2, 2,       Cl5, 2.280, 0.486,0,2.0128891419042092
    QAMDOY,       Fe2, 2,       Cl6, 2.314, 0.443,0,2.0128891419042092
    QAMDOY,       Fe2, 2,       Cl7, 2.334, 0.420,0,2.0128891419042092
    QAMDOY,       Fe2, 2,       Cl8, 2.317, 0.440,0,2.0128891419042092
    QAMDOY,       Fe1, 2,       Cl4, 2.305, 0.454,0,2.0128891419042092
    QAMDOY,       Fe1, 2,       Cl1, 2.328, 0.427,0,2.0128891419042092
    QAMDOY,       Fe1, 2,       Cl2, 2.261, 0.511,0,2.0128891419042092
    QAMDOY,       Fe1, 2,       Cl3, 2.358, 0.393,0,2.0128891419042092
    ZEYQOJ,       Fe7, 2,       Cl4, 2.312, 0.446,0,2.0128891419042092
    ZEYQOJ,       Fe7, 2,       Cl1, 2.320, 0.436,0,2.0128891419042092
    ZEYQOJ,       Fe7, 2,       Cl2, 2.302, 0.458,0,2.0128891419042092
    ZEYQOJ,       Fe7, 2,       Cl3, 2.307, 0.452,0,2.0128891419042092
    IREQIF,       Fe2, 2,       Cl4, 2.322, 0.434,0,2.0128891419042092
    IREQIF,       Fe2, 2,       Cl1, 2.323, 0.433,0,2.0128891419042092
    IREQIF,       Fe2, 2,       Cl2, 2.316, 0.441,0,2.0128891419042092
    IREQIF,       Fe2, 2,       Cl3, 2.276, 0.491,0,2.0128891419042092
    HONZIU,       Fe2, 2,       Cl4, 2.313, 0.444,0,2.0128891419042092
    HONZIU,       Fe2, 2,       Cl1, 2.316, 0.441,0,2.0128891419042092
    HONZIU,       Fe2, 2,       Cl2, 2.331, 0.423,0,2.0128891419042092
    HONZIU,       Fe2, 2,       Cl3, 2.282, 0.483,0,2.0128891419042092
    GUJJUQ,       Fe2, 2,       Cl4, 2.339, 0.414,0,2.0128891419042092
    GUJJUQ,       Fe2, 2,       Cl1, 2.338, 0.415,0,2.0128891419042092
    GUJJUQ,       Fe2, 2,       Cl2, 2.292, 0.470,0,2.0128891419042092
    GUJJUQ,       Fe2, 2,       Cl3, 2.317, 0.440,0,2.0128891419042092
    HIKNOF,       Fe3, 2,       Cl4, 2.325, 0.430,0,2.0128891419042092
    HIKNOF,       Fe3, 2,       Cl5, 2.311, 0.447,0,2.0128891419042092
    HIKNOF,       Fe3, 2,       Cl6, 2.305, 0.454,0,2.0128891419042092
    HIKNOF,       Fe3, 2,       Cl3, 2.310, 0.448,0,2.0128891419042092
    CURPOU,       Fe1, 2,      Cl1F, 2.409, 0.343,0,2.0128891419042092
    CURPOU,       Fe1, 2,       Cl1, 2.409, 0.343,0,2.0128891419042092
    CURPOU,       Fe1, 2,       Cl2, 2.234, 0.550,0,2.0128891419042092
    CURPOU,       Fe1, 2,      Cl2F, 2.234, 0.550,0,2.0128891419042092
  MDTHCF10,       Fe1, 2,      Cl2B, 2.336, 0.418,0,2.0128891419042092
  MDTHCF10,       Fe1, 2,      Cl1B, 2.291, 0.472,0,2.0128891419042092
  MDTHCF10,       Fe1, 2,       Cl1, 2.291, 0.472,0,2.0128891419042092
  MDTHCF10,       Fe1, 2,       Cl2, 2.336, 0.418,0,2.0128891419042092
    KISMIJ,       Fe1, 2,       Cl4, 2.329, 0.426,0,2.0128891419042092
    KISMIJ,       Fe1, 2,       Cl1, 2.297, 0.464,0,2.0128891419042092
    KISMIJ,       Fe1, 2,       Cl2, 2.311, 0.447,0,2.0128891419042092
    KISMIJ,       Fe1, 2,       Cl3, 2.313, 0.444,0,2.0128891419042092
    IFEJUY,       Fe3, 2,      Cl2C, 2.323, 0.433,0,2.0128891419042092
    IFEJUY,       Fe3, 2,      Cl3C, 2.316, 0.441,0,2.0128891419042092
    IFEJUY,       Fe3, 2,       Cl2, 2.323, 0.433,0,2.0128891419042092
    IFEJUY,       Fe3, 2,       Cl3, 2.316, 0.441,0,2.0128891419042092
    LAFGEE,       Fe1, 2,      Cl2B, 2.409, 0.343,0,2.0128891419042092
    LAFGEE,       Fe1, 2,       Cl1, 2.236, 0.547,0,2.0128891419042092
    LAFGEE,       Fe1, 2,       Cl2, 2.385, 0.366,0,2.0128891419042092
    LAFGEE,       Fe1, 2,       Cl3, 2.228, 0.559,0,2.0128891419042092
    GEZMON,       Fe1, 2,      Cl1F, 2.177, 0.642,0,2.0128891419042092
    GEZMON,       Fe1, 2,      Cl1D, 2.177, 0.642,0,2.0128891419042092
    GEZMON,       Fe1, 2,      Cl1B, 2.177, 0.642,0,2.0128891419042092
    GEZMON,       Fe1, 2,       Cl1, 2.177, 0.642,0,2.0128891419042092
    HOQHEA,       Fe1, 2,      Cl1B, 2.320, 0.436,0,2.0128891419042092
    HOQHEA,       Fe1, 2,       Cl1, 2.319, 0.437,0,2.0128891419042092
    HOQHEA,       Fe1, 2,       Cl2, 2.297, 0.464,0,2.0128891419042092
    HOQHEA,       Fe1, 2,      Cl1A, 2.321, 0.435,0,2.0128891419042092
    HIYVER,       Fe5, 2,       Cl4, 2.306, 0.453,0,2.0128891419042092
    HIYVER,       Fe5, 2,       Cl1, 2.265, 0.506,0,2.0128891419042092
    HIYVER,       Fe5, 2,       Cl2, 2.291, 0.472,0,2.0128891419042092
    HIYVER,       Fe5, 2,       Cl3, 2.311, 0.447,0,2.0128891419042092
    CUCXUT,       Fe1, 2,       Cl3, 2.105, 0.780,0,2.0128891419042092
    CUCXUT,       Fe1, 2,       Cl1, 2.097, 0.797,0,2.0128891419042092
    CUCXUT,       Fe1, 2,       Cl2, 2.180, 0.637,0,2.0128891419042092
    CUCXUT,       Fe1, 2,      Cl1A, 2.097, 0.797,0,2.0128891419042092
    SEWDAA,       Fe1, 2,       Cl4, 2.331, 0.423,0,2.0128891419042092
    SEWDAA,       Fe1, 2,       Cl1, 2.287, 0.477,0,2.0128891419042092
    SEWDAA,       Fe1, 2,       Cl2, 2.292, 0.470,0,2.0128891419042092
    SEWDAA,       Fe1, 2,       Cl3, 2.334, 0.420,0,2.0128891419042092
    QIVCII,       Fe1, 2,       Cl4, 2.282, 0.483,0,2.0128891419042092
    QIVCII,       Fe1, 2,       Cl1, 2.363, 0.388,0,2.0128891419042092
    QIVCII,       Fe1, 2,       Cl2, 2.278, 0.488,0,2.0128891419042092
    QIVCII,       Fe1, 2,       Cl3, 2.329, 0.426,0,2.0128891419042092
    YIDXIT,       Fe1, 2,       Cl4, 2.299, 0.462,0,2.0128891419042092
    YIDXIT,       Fe1, 2,       Cl1, 2.313, 0.444,0,2.0128891419042092
    YIDXIT,       Fe1, 2,       Cl2, 2.348, 0.404,0,2.0128891419042092
    YIDXIT,       Fe1, 2,       Cl3, 2.329, 0.426,0,2.0128891419042092
    VESKOU,       Fe1, 2,      Cl3D, 2.388, 0.363,0,2.0128891419042092
    VESKOU,       Fe1, 2,       Cl1, 2.236, 0.547,0,2.0128891419042092
    VESKOU,       Fe1, 2,       Cl2, 2.246, 0.533,0,2.0128891419042092
    VESKOU,       Fe1, 2,       Cl3, 2.399, 0.352,0,2.0128891419042092
    CAYQOI,       Fe2, 2,      Cl1G, 2.361, 0.390,0,2.0128891419042092
    CAYQOI,       Fe2, 2,      Cl2G, 2.268, 0.502,0,2.0128891419042092
    CAYQOI,       Fe2, 2,       Cl1, 2.361, 0.390,0,2.0128891419042092
    CAYQOI,       Fe2, 2,       Cl2, 2.268, 0.502,0,2.0128891419042092
    CIRGOZ,       Fe1, 2,      Cl1F, 2.377, 0.374,0,2.0128891419042092
    CIRGOZ,       Fe1, 2,       Cl1, 2.377, 0.374,0,2.0128891419042092
    CIRGOZ,       Fe1, 2,       Cl2, 2.228, 0.559,0,2.0128891419042092
    CIRGOZ,       Fe1, 2,      Cl2F, 2.228, 0.559,0,2.0128891419042092
    FEJJEK,       Fe2, 2,       Cl4, 2.268, 0.502,0,2.0128891419042092
    FEJJEK,       Fe2, 2,       Cl1, 2.282, 0.483,0,2.0128891419042092
    FEJJEK,       Fe2, 2,       Cl2, 2.265, 0.506,0,2.0128891419042092
    FEJJEK,       Fe2, 2,       Cl3, 2.260, 0.513,0,2.0128891419042092
    NALSUQ,       Fe2, 2,      Cl2B, 2.291, 0.472,0,2.0128891419042092
    NALSUQ,       Fe2, 2,      Cl2A, 2.292, 0.470,0,2.0128891419042092
    NALSUQ,       Fe2, 2,       Cl1, 2.334, 0.420,0,2.0128891419042092
    NALSUQ,       Fe2, 2,       Cl2, 2.292, 0.470,0,2.0128891419042092
    NEMDOY,       Fe7, 2,       Cl4, 2.327, 0.428,0,2.0128891419042092
    NEMDOY,       Fe7, 2,       Cl5, 2.318, 0.438,0,2.0128891419042092
    NEMDOY,       Fe7, 2,       Cl2, 2.319, 0.437,0,2.0128891419042092
    NEMDOY,       Fe7, 2,       Cl3, 2.313, 0.444,0,2.0128891419042092
    XAPLOP,       Fe1, 2,       Cl4, 2.338, 0.415,0,2.0128891419042092
    XAPLOP,       Fe1, 2,       Cl1, 2.302, 0.458,0,2.0128891419042092
    XAPLOP,       Fe1, 2,       Cl2, 2.284, 0.481,0,2.0128891419042092
    XAPLOP,       Fe1, 2,       Cl3, 2.300, 0.460,0,2.0128891419042092
    KEBSOB,       Fe2, 2,       Cl4, 2.194, 0.613,0,2.0128891419042092
    KEBSOB,       Fe2, 2,       Cl1, 2.202, 0.600,0,2.0128891419042092
    KEBSOB,       Fe2, 2,       Cl2, 2.180, 0.637,0,2.0128891419042092
    KEBSOB,       Fe2, 2,       Cl3, 2.194, 0.613,0,2.0128891419042092
    YABGIS,       Fe1, 2,       Cl4, 2.285, 0.479,0,2.0128891419042092
    YABGIS,       Fe1, 2,       Cl1, 2.343, 0.410,0,2.0128891419042092
    YABGIS,       Fe1, 2,       Cl2, 2.307, 0.452,0,2.0128891419042092
    YABGIS,       Fe1, 2,       Cl3, 2.316, 0.441,0,2.0128891419042092
    MAFECL,       Fe1, 2,       Cl1, 2.392, 0.359,0,2.0128891419042092
    MAFECL,       Fe1, 2,      Cl2C, 2.384, 0.367,0,2.0128891419042092
    MAFECL,       Fe1, 2,      Cl3C, 2.391, 0.360,0,2.0128891419042092
    MAFECL,       Fe1, 2,      Cl1C, 2.392, 0.359,0,2.0128891419042092
    MAFECL,       Fe1, 2,       Cl2, 2.384, 0.367,0,2.0128891419042092
    MAFECL,       Fe1, 2,       Cl3, 2.391, 0.360,0,2.0128891419042092
    QUSDIR,       Fe2, 2,       Cl4, 2.169, 0.656,0,2.0128891419042092
    QUSDIR,       Fe2, 2,       Cl1, 2.179, 0.638,0,2.0128891419042092
    QUSDIR,       Fe2, 2,       Cl2, 2.181, 0.635,0,2.0128891419042092
    QUSDIR,       Fe2, 2,       Cl3, 2.181, 0.635,0,2.0128891419042092
    QEJWUX,       Fe1, 2,      Cl3B, 2.403, 0.348,0,2.0128891419042092
    QEJWUX,       Fe1, 2,       Cl1, 2.252, 0.524,0,2.0128891419042092
    QEJWUX,       Fe1, 2,       Cl2, 2.244, 0.535,0,2.0128891419042092
    QEJWUX,       Fe1, 2,       Cl3, 2.392, 0.359,0,2.0128891419042092
    EXOVUI,       Fe2, 2,      Cl1G, 2.280, 0.486,0,2.0128891419042092
    EXOVUI,       Fe2, 2,      Cl2G, 2.365, 0.386,0,2.0128891419042092
    EXOVUI,       Fe2, 2,       Cl1, 2.280, 0.486,0,2.0128891419042092
    EXOVUI,       Fe2, 2,       Cl2, 2.365, 0.386,0,2.0128891419042092
    TMAFEC,       Fe1, 2,      Cl2B, 2.296, 0.465,0,2.0128891419042092
    TMAFEC,       Fe1, 2,       Cl1, 2.290, 0.473,0,2.0128891419042092
    TMAFEC,       Fe1, 2,       Cl2, 2.296, 0.465,0,2.0128891419042092
    TMAFEC,       Fe1, 2,       Cl3, 2.289, 0.474,0,2.0128891419042092
    NEMDUE,       Fe7, 2,       Cl4, 2.296, 0.465,0,2.0128891419042092
    NEMDUE,       Fe7, 2,       Cl5, 2.324, 0.431,0,2.0128891419042092
    NEMDUE,       Fe7, 2,       Cl6, 2.302, 0.458,0,2.0128891419042092
    NEMDUE,       Fe7, 2,       Cl3, 2.331, 0.423,0,2.0128891419042092
    ADUPAQ,       Fe1, 2,      Cl2B, 2.249, 0.528,0,2.0128891419042092
    ADUPAQ,       Fe1, 2,      Cl1B, 2.258, 0.516,0,2.0128891419042092
    ADUPAQ,       Fe1, 2,       Cl1, 2.258, 0.516,0,2.0128891419042092
    ADUPAQ,       Fe1, 2,       Cl2, 2.249, 0.528,0,2.0128891419042092
