    SUWDEU,       Fe1, 3,       Br4, 2.336, 0.743,0,2.2258520120008729
    SUWDEU,       Fe1, 3,       Br3, 2.343, 0.729,0,2.2258520120008729
    SUWDEU,       Fe1, 3,       Br2, 2.332, 0.751,0,2.2258520120008729
    SUWDEU,       Fe1, 3,       Br1, 2.336, 0.743,0,2.2258520120008729
    ECUWUU,       Fe1, 3,       Br4, 2.319, 0.777,0,2.2258520120008729
    ECUWUU,       Fe1, 3,       Br3, 2.321, 0.773,0,2.2258520120008729
    ECUWUU,       Fe1, 3,       Br2, 2.338, 0.739,0,2.2258520120008729
    ECUWUU,       Fe1, 3,       Br1, 2.347, 0.721,0,2.2258520120008729
    LAQQIE,       Fe1, 3,       Br4, 2.331, 0.753,0,2.2258520120008729
    LAQQIE,       Fe1, 3,       Br3, 2.322, 0.771,0,2.2258520120008729
    LAQQIE,       Fe1, 3,       Br2, 2.341, 0.733,0,2.2258520120008729
    LAQQIE,       Fe1, 3,       Br1, 2.340, 0.735,0,2.2258520120008729
    XEFPOP,       Fe1, 3,      Br2B, 2.344, 0.727,0,2.2258520120008729
    XEFPOP,       Fe1, 3,       Br2, 2.343, 0.729,0,2.2258520120008729
    XEFPOP,       Fe1, 3,       Br1, 2.323, 0.769,0,2.2258520120008729
    XEFPOP,       Fe1, 3,      Br2A, 2.344, 0.727,0,2.2258520120008729
    GUVSEV,       Fe2, 3,       Br6, 2.306, 0.805,0,2.2258520120008729
    GUVSEV,       Fe2, 3,       Br5, 2.323, 0.769,0,2.2258520120008729
    GUVSEV,       Fe2, 3,       Br4, 2.352, 0.711,0,2.2258520120008729
    GUVSEV,       Fe2, 3,       Br3, 2.305, 0.807,0,2.2258520120008729
    FEKYID,       Fe1, 3,      Br1B, 2.333, 0.749,0,2.2258520120008729
    FEKYID,       Fe1, 3,      Br1A, 2.333, 0.749,0,2.2258520120008729
    FEKYID,       Fe1, 3,       Br1, 2.333, 0.749,0,2.2258520120008729
    FEKYID,       Fe1, 3,      Br1D, 2.333, 0.749,0,2.2258520120008729
    TIRSOD,       Fe1, 3,       Br4, 2.334, 0.747,0,2.2258520120008729
    TIRSOD,       Fe1, 3,       Br3, 2.334, 0.747,0,2.2258520120008729
    TIRSOD,       Fe1, 3,       Br2, 2.371, 0.676,0,2.2258520120008729
    TIRSOD,       Fe1, 3,       Br1, 2.334, 0.747,0,2.2258520120008729
    GOPTEK,       Fe1, 3,      Br3B, 2.339, 0.737,0,2.2258520120008729
    GOPTEK,       Fe1, 3,       Br3, 2.339, 0.737,0,2.2258520120008729
    GOPTEK,       Fe1, 3,       Br2, 2.302, 0.814,0,2.2258520120008729
    GOPTEK,       Fe1, 3,       Br1, 2.339, 0.737,0,2.2258520120008729
    EPYMBF,       Fe1, 3,       Br4, 2.345, 0.725,0,2.2258520120008729
    EPYMBF,       Fe1, 3,       Br3, 2.326, 0.763,0,2.2258520120008729
    EPYMBF,       Fe1, 3,       Br2, 2.324, 0.767,0,2.2258520120008729
    EPYMBF,       Fe1, 3,       Br1, 2.310, 0.797,0,2.2258520120008729
    PIXDOP,       Fe3, 3,       Br4, 2.289, 0.843,0,2.2258520120008729
    PIXDOP,       Fe3, 3,       Br3, 2.354, 0.707,0,2.2258520120008729
    PIXDOP,       Fe3, 3,       Br2, 2.358, 0.700,0,2.2258520120008729
    PIXDOP,       Fe3, 3,       Br1, 2.354, 0.707,0,2.2258520120008729
    DULCET,       Fe1, 3,       Br4, 2.360, 0.696,0,2.2258520120008729
    DULCET,       Fe1, 3,       Br3, 2.342, 0.731,0,2.2258520120008729
    DULCET,       Fe1, 3,       Br2, 2.313, 0.790,0,2.2258520120008729
    DULCET,       Fe1, 3,       Br1, 2.311, 0.794,0,2.2258520120008729
    ESILIB,       Fe1, 3,      Br1A, 2.321, 0.773,0,2.2258520120008729
    ESILIB,       Fe1, 3,      Br1G, 2.321, 0.773,0,2.2258520120008729
    ESILIB,       Fe1, 3,      Br1F, 2.321, 0.773,0,2.2258520120008729
    ESILIB,       Fe1, 3,       Br1, 2.321, 0.773,0,2.2258520120008729
    ICIJOT,       Fe2, 3,       Br7, 2.348, 0.719,0,2.2258520120008729
    ICIJOT,       Fe2, 3,       Br6, 2.346, 0.723,0,2.2258520120008729
    ICIJOT,       Fe2, 3,       Br5, 2.327, 0.761,0,2.2258520120008729
    ICIJOT,       Fe2, 3,       Br8, 2.312, 0.792,0,2.2258520120008729
    XIMFUV,       Fe2, 3,       Br7, 2.335, 0.745,0,2.2258520120008729
    XIMFUV,       Fe2, 3,       Br6, 2.353, 0.709,0,2.2258520120008729
    XIMFUV,       Fe2, 3,       Br5, 2.335, 0.745,0,2.2258520120008729
    XIMFUV,       Fe2, 3,       Br8, 2.336, 0.743,0,2.2258520120008729
    XIMFUV,       Fe1, 3,       Br4, 2.341, 0.733,0,2.2258520120008729
    XIMFUV,       Fe1, 3,       Br3, 2.341, 0.733,0,2.2258520120008729
    XIMFUV,       Fe1, 3,       Br2, 2.345, 0.725,0,2.2258520120008729
    XIMFUV,       Fe1, 3,       Br1, 2.321, 0.773,0,2.2258520120008729
    ICIJOT,       Fe1, 3,       Br4, 2.298, 0.823,0,2.2258520120008729
    ICIJOT,       Fe1, 3,       Br3, 2.344, 0.727,0,2.2258520120008729
    ICIJOT,       Fe1, 3,       Br2, 2.354, 0.707,0,2.2258520120008729
    ICIJOT,       Fe1, 3,       Br1, 2.326, 0.763,0,2.2258520120008729
    XUGPUL,       Fe1, 3,       Br4, 2.339, 0.737,0,2.2258520120008729
    XUGPUL,       Fe1, 3,       Br3, 2.338, 0.739,0,2.2258520120008729
    XUGPUL,       Fe1, 3,       Br2, 2.345, 0.725,0,2.2258520120008729
    XUGPUL,       Fe1, 3,       Br1, 2.343, 0.729,0,2.2258520120008729
    QUSCUD,       Fe1, 3,       Br4, 2.343, 0.729,0,2.2258520120008729
    QUSCUD,       Fe1, 3,       Br3, 2.318, 0.780,0,2.2258520120008729
    QUSCUD,       Fe1, 3,       Br2, 2.331, 0.753,0,2.2258520120008729
    QUSCUD,       Fe1, 3,       Br1, 2.331, 0.753,0,2.2258520120008729
    KAQNOH,       Fe4, 3,       Br4, 2.319, 0.777,0,2.2258520120008729
    KAQNOH,       Fe4, 3,       Br3, 2.324, 0.767,0,2.2258520120008729
    KAQNOH,       Fe4, 3,       Br2, 2.328, 0.759,0,2.2258520120008729
    KAQNOH,       Fe4, 3,       Br1, 2.350, 0.715,0,2.2258520120008729
    KAQNOH,       Fe5, 3,       Br7, 2.329, 0.757,0,2.2258520120008729
    KAQNOH,       Fe5, 3,       Br6, 2.343, 0.729,0,2.2258520120008729
    KAQNOH,       Fe5, 3,       Br5, 2.326, 0.763,0,2.2258520120008729
    KAQNOH,       Fe5, 3,       Br8, 2.325, 0.765,0,2.2258520120008729
    SURRUT,       Fe1, 3,       Br4, 2.335, 0.745,0,2.2258520120008729
    SURRUT,       Fe1, 3,       Br3, 2.333, 0.749,0,2.2258520120008729
    SURRUT,       Fe1, 3,       Br2, 2.330, 0.755,0,2.2258520120008729
    SURRUT,       Fe1, 3,       Br1, 2.324, 0.767,0,2.2258520120008729
    YIFDEX,       Fe1, 3,       Br4, 2.323, 0.769,0,2.2258520120008729
    YIFDEX,       Fe1, 3,       Br3, 2.339, 0.737,0,2.2258520120008729
    YIFDEX,       Fe1, 3,       Br2, 2.344, 0.727,0,2.2258520120008729
    YIFDEX,       Fe1, 3,       Br1, 2.330, 0.755,0,2.2258520120008729
    PIXFUY,       Fe2, 3,       Br4, 2.331, 0.753,0,2.2258520120008729
    PIXFUY,       Fe2, 3,       Br3, 2.332, 0.751,0,2.2258520120008729
    PIXFUY,       Fe2, 3,       Br2, 2.349, 0.717,0,2.2258520120008729
    PIXFUY,       Fe2, 3,       Br1, 2.336, 0.743,0,2.2258520120008729
    IKOVUZ,       Fe1, 3,       Br4, 2.352, 0.711,0,2.2258520120008729
    IKOVUZ,       Fe1, 3,       Br3, 2.339, 0.737,0,2.2258520120008729
    IKOVUZ,       Fe1, 3,       Br2, 2.359, 0.698,0,2.2258520120008729
    IKOVUZ,       Fe1, 3,       Br1, 2.331, 0.753,0,2.2258520120008729
    PORNUF,       Fe1, 3,      Br1A, 2.336, 0.743,0,2.2258520120008729
    PORNUF,       Fe1, 3,       Br2, 2.326, 0.763,0,2.2258520120008729
    PORNUF,       Fe1, 3,       Br1, 2.336, 0.743,0,2.2258520120008729
    PORNUF,       Fe1, 3,      Br2A, 2.326, 0.763,0,2.2258520120008729
    SIVJUD,       Fe1, 3,       Br4, 2.319, 0.777,0,2.2258520120008729
    SIVJUD,       Fe1, 3,       Br3, 2.317, 0.782,0,2.2258520120008729
    SIVJUD,       Fe1, 3,       Br2, 2.311, 0.794,0,2.2258520120008729
    SIVJUD,       Fe1, 3,       Br1, 2.345, 0.725,0,2.2258520120008729
    FEKFUW,       Fe3, 3,       Br4, 2.329, 0.757,0,2.2258520120008729
    FEKFUW,       Fe3, 3,       Br3, 2.351, 0.713,0,2.2258520120008729
    FEKFUW,       Fe3, 3,       Br2, 2.334, 0.747,0,2.2258520120008729
    FEKFUW,       Fe3, 3,       Br1, 2.339, 0.737,0,2.2258520120008729
    SEPLAA,       Fe1, 3,       Br4, 2.329, 0.757,0,2.2258520120008729
    SEPLAA,       Fe1, 3,       Br3, 2.325, 0.765,0,2.2258520120008729
    SEPLAA,       Fe1, 3,       Br2, 2.322, 0.771,0,2.2258520120008729
    SEPLAA,       Fe1, 3,       Br1, 2.330, 0.755,0,2.2258520120008729
    SURRIH,       Fe1, 3,       Br4, 2.327, 0.761,0,2.2258520120008729
    SURRIH,       Fe1, 3,       Br3, 2.318, 0.780,0,2.2258520120008729
    SURRIH,       Fe1, 3,       Br2, 2.327, 0.761,0,2.2258520120008729
    SURRIH,       Fe1, 3,       Br1, 2.360, 0.696,0,2.2258520120008729
    XEGLUR,       Fe1, 3,       Br4, 2.336, 0.743,0,2.2258520120008729
    XEGLUR,       Fe1, 3,       Br3, 2.321, 0.773,0,2.2258520120008729
    XEGLUR,       Fe1, 3,       Br2, 2.340, 0.735,0,2.2258520120008729
    XEGLUR,       Fe1, 3,       Br1, 2.338, 0.739,0,2.2258520120008729
  AGOGEI01,       Fe1, 3,       Br4, 2.324, 0.767,0,2.2258520120008729
  AGOGEI01,       Fe1, 3,       Br3, 2.330, 0.755,0,2.2258520120008729
  AGOGEI01,       Fe1, 3,       Br2, 2.347, 0.721,0,2.2258520120008729
  AGOGEI01,       Fe1, 3,       Br1, 2.335, 0.745,0,2.2258520120008729
    NIXWAT,       Fe1, 3,       Br4, 2.323, 0.769,0,2.2258520120008729
    NIXWAT,       Fe1, 3,       Br3, 2.346, 0.723,0,2.2258520120008729
    NIXWAT,       Fe1, 3,       Br2, 2.331, 0.753,0,2.2258520120008729
    NIXWAT,       Fe1, 3,       Br1, 2.314, 0.788,0,2.2258520120008729
    ECANEC,       Fe1, 3,       Br4, 2.322, 0.771,0,2.2258520120008729
    ECANEC,       Fe1, 3,       Br3, 2.324, 0.767,0,2.2258520120008729
    ECANEC,       Fe1, 3,       Br2, 2.322, 0.771,0,2.2258520120008729
    ECANEC,       Fe1, 3,       Br1, 2.328, 0.759,0,2.2258520120008729
  XIBKID01,       Fe1, 3,       Br4, 2.329, 0.757,0,2.2258520120008729
  XIBKID01,       Fe1, 3,       Br3, 2.330, 0.755,0,2.2258520120008729
  XIBKID01,       Fe1, 3,       Br2, 2.326, 0.763,0,2.2258520120008729
  XIBKID01,       Fe1, 3,       Br1, 2.334, 0.747,0,2.2258520120008729
    XIMFUV,       Fe3, 3,      Br12, 2.332, 0.751,0,2.2258520120008729
    XIMFUV,       Fe3, 3,      Br11, 2.331, 0.753,0,2.2258520120008729
    XIMFUV,       Fe3, 3,      Br10, 2.344, 0.727,0,2.2258520120008729
    XIMFUV,       Fe3, 3,       Br9, 2.339, 0.737,0,2.2258520120008729
    QUSDAK,       Fe1, 3,       Br4, 2.336, 0.743,0,2.2258520120008729
    QUSDAK,       Fe1, 3,       Br3, 2.359, 0.698,0,2.2258520120008729
    QUSDAK,       Fe1, 3,       Br2, 2.328, 0.759,0,2.2258520120008729
    QUSDAK,       Fe1, 3,       Br1, 2.336, 0.743,0,2.2258520120008729
    ECOPER,       Fe1, 3,       Br4, 2.304, 0.810,0,2.2258520120008729
    ECOPER,       Fe1, 3,       Br3, 2.315, 0.786,0,2.2258520120008729
    ECOPER,       Fe1, 3,       Br2, 2.314, 0.788,0,2.2258520120008729
    ECOPER,       Fe1, 3,       Br1, 2.331, 0.753,0,2.2258520120008729
  WIGMUU01,       Fe2, 3,       Br7, 2.331, 0.753,0,2.2258520120008729
  WIGMUU01,       Fe2, 3,       Br6, 2.334, 0.747,0,2.2258520120008729
  WIGMUU01,       Fe2, 3,       Br5, 2.342, 0.731,0,2.2258520120008729
  WIGMUU01,       Fe2, 3,       Br8, 2.326, 0.763,0,2.2258520120008729
  WIGMUU01,       Fe1, 3,       Br4, 2.326, 0.763,0,2.2258520120008729
  WIGMUU01,       Fe1, 3,       Br3, 2.338, 0.739,0,2.2258520120008729
  WIGMUU01,       Fe1, 3,       Br2, 2.340, 0.735,0,2.2258520120008729
  WIGMUU01,       Fe1, 3,       Br1, 2.341, 0.733,0,2.2258520120008729
    WEJSAF,       Fe1, 3,       Br4, 2.318, 0.780,0,2.2258520120008729
    WEJSAF,       Fe1, 3,       Br3, 2.308, 0.801,0,2.2258520120008729
    WEJSAF,       Fe1, 3,       Br2, 2.339, 0.737,0,2.2258520120008729
    WEJSAF,       Fe1, 3,       Br1, 2.334, 0.747,0,2.2258520120008729
    LILRUU,       Fe1, 3,      Br1C, 2.330, 0.755,0,2.2258520120008729
    LILRUU,       Fe1, 3,       Br2, 2.329, 0.757,0,2.2258520120008729
    LILRUU,       Fe1, 3,       Br1, 2.330, 0.755,0,2.2258520120008729
    LILRUU,       Fe1, 3,      Br2C, 2.329, 0.757,0,2.2258520120008729
    GOPTAG,       Fe1, 3,       Br4, 2.339, 0.737,0,2.2258520120008729
    GOPTAG,       Fe1, 3,       Br3, 2.338, 0.739,0,2.2258520120008729
    GOPTAG,       Fe1, 3,       Br2, 2.357, 0.702,0,2.2258520120008729
    GOPTAG,       Fe1, 3,       Br1, 2.333, 0.749,0,2.2258520120008729
    GIDROB,       Fe1, 3,       Br4, 2.318, 0.780,0,2.2258520120008729
    GIDROB,       Fe1, 3,       Br3, 2.314, 0.788,0,2.2258520120008729
    GIDROB,       Fe1, 3,       Br2, 2.330, 0.755,0,2.2258520120008729
    GIDROB,       Fe1, 3,       Br1, 2.326, 0.763,0,2.2258520120008729
    JETGEU,       Fe1, 3,       Br4, 2.336, 0.743,0,2.2258520120008729
    JETGEU,       Fe1, 3,       Br3, 2.333, 0.749,0,2.2258520120008729
    JETGEU,       Fe1, 3,       Br2, 2.347, 0.721,0,2.2258520120008729
    JETGEU,       Fe1, 3,       Br1, 2.338, 0.739,0,2.2258520120008729
    JETGEU,       Fe2, 3,       Br7, 2.343, 0.729,0,2.2258520120008729
    JETGEU,       Fe2, 3,       Br6, 2.345, 0.725,0,2.2258520120008729
    JETGEU,       Fe2, 3,       Br5, 2.335, 0.745,0,2.2258520120008729
    JETGEU,       Fe2, 3,       Br8, 2.349, 0.717,0,2.2258520120008729
